samb01,samb02,samb03,samb04,samb05,samb06,samb07,samb08,samb09,samb10,samb11,samb12,samb13,samb14,samb15,samb16,samb17,samb18,samb19,gender,age,id,semester,ethnic,SAmb_tot
1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,18.54,1095,9,1,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.46,1097,9,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18.62,1098,9,1,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.66,1099,9,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.47,1118,9,1,2
0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,19.95,1119,9,1,5
1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,18.94,1120,9,1,8
0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20.41,1121,9,1,4
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,18.55,1123,9,1,17
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,19.83,1124,9,3,4
0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,19.5,1125,9,1,14
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,20.41,1127,9,1,4
0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,18.41,1128,9,6,15
0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,19.4,1130,9,1,7
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,26.86,1131,9,6,2
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,1132,9,1,3
1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,NA,1133,9,1,6
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,18.67,1134,9,1,18
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,21.94,1135,9,1,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,18.29,1136,9,1,3
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,18.09,1137,9,1,5
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,18.98,1142,9,NA,4
1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,20.29,1143,9,1,11
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18.03,1150,9,1,2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1151,9,NA,1
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,NA,1,0,18.6,1152,9,NA,6
0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,NA,1153,9,NA,9
0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,19.15,1161,9,3,8
0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,18.09,1162,9,1,9
0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,19.36,1163,9,1,7
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.85,1164,9,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,1165,9,1,0
1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,20.3,1167,9,1,9
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.38,1168,9,1,1
0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,25,1169,9,6,13
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,18.28,1171,9,1,5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81,1172,9,1,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,20.41,1173,9,1,4
1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,19.03,1174,9,1,7
0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,22.85,1176,9,1,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42,1177,9,6,0
1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,21.03,1178,9,2,11
